conversation_id,utterance_id,speaker,history,utterance,emotion,visual,audio,Sr No.,Season,Episode,StartTime,EndTime,image,audio_path
0,0,Mark,,Why do all you're coffee mugs have numbers on the bottom?,surprise,"'Mark: Thoughtful, furrowed brow, downturned mouth'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout the short utterance, suggesting a moderate pitch. There are no drastic upward or downward shifts, and the overall impression is of a conversational, unremarkable pitch contour. It does not sound particularly high or low.; Loudness / Energy: The loudness and energy level are consistent and at a moderate level, typical of a conversational tone. There are no significant crescendos or decrescendos, and the energy seems evenly distributed across the speech, indicating a lack of strong emphasis or dramatic shifts.; Speaking Rate and Pauses: The speaking rate is moderate, with clear articulation. There are very brief, natural pauses between phrases (e.g., between ""cofffee mugs"" and ""have numbers""), which contribute to a smooth and understandable flow. The pacing feels unhurried and deliberate.; Voice Quality Features: The voice quality sounds clear and smooth. There are no audible signs of breathiness, strain, or hoarseness. The articulation is clean, suggesting good vocal fold function and control, resulting in a pleasant and natural-sounding voice.",1,3,19,"00:14:38,127","00:14:40,378",/kaggle/input/video-frames-v1/preprocessed_frames/test/0_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia0_utt0.wav
0,1,Rachel,Mark: Why do all you're coffee mugs have numbers on the bottom?,"Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, Where's number 27?!'",anger,"'Rachel: Slightly confused, raised eyebrows, mouth slightly open'","Fundamental Frequency: The fundamental frequency (pitch) of the speaker's voice is within a moderate range, not sounding particularly high or low. There are slight fluctuations, indicating a natural and conversational intonation. The pitch contour is relatively stable throughout the short utterance, with no dramatic rises or falls. Overall, pitch is used in a standard, expressive way typical of everyday speech.; Loudness / Energy: The perceived loudness and vocal energy are moderate. The speaker sounds neither overly soft nor exceptionally loud. The energy level remains consistent throughout the brief audio clip, with no significant shifts in intensity. There are no strong indications of emphasis or dynamic variation; the vocal delivery is even.; Speaking Rate and Pauses: The speaking rate is moderate. The speaker delivers the words at a natural pace, neither rushed nor slow. There is a brief pause before the word ""that"", which helps to separate the initial interjection from the main statement. The overall flow is smooth and coherent for the short duration.; Voice Quality Features: The voice quality sounds clear and smooth. There are no obvious signs of hoarseness, strain, or breathiness. The vocal production appears to be effortless and well-controlled, suggesting good vocal fold function. The quality is consistent throughout the utterance.",2,3,19,"00:14:40,629","00:14:47,385",/kaggle/input/video-frames-v1/preprocessed_frames/test/0_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia0_utt1.wav
0,2,Rachel,"Mark: Why do all you're coffee mugs have numbers on the bottom?
Rachel: Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, Where's number 27?!'",Y'know what?,neutral,"'Rachel: Concerned, furrowed brow, downturned mouth'","Fundamental Frequency: The fundamental frequency (F0) in this short audio clip appears to be within a moderate to slightly high range, suggesting a voice that isn't particularly deep but also not excessively high-pitched. There isn't enough duration to assess significant pitch contour changes or long-term stability, but the initial utterance sounds relatively steady. The overall impression is of a neutral to slightly upward inflection at the end of the phrase.; Loudness / Energy: The loudness and vocal energy in this clip are moderate. The speaker's voice sounds clear and at a comfortable listening level, without being overly loud or excessively soft. There are no abrupt shifts in energy, indicating a consistent delivery. The overall impression is one of balanced vocal dynamics.; Speaking Rate and Pauses: The speaking rate in this very brief audio segment appears to be moderate. The phrase is delivered smoothly without any apparent pauses. Given the short duration, it's difficult to definitively assess the rhythm or the impact of pauses, but the initial impression is of a direct and unhesitating delivery.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, hoarseness, or roughness. The vocal production seems natural and unforced, suggesting a healthy and well-modulated voice. The clarity of articulation further contributes to a positive impression of voice quality.",3,3,19,"00:14:56,353","00:14:57,520",/kaggle/input/video-frames-v1/preprocessed_frames/test/0_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia0_utt2.wav
1,0,Joey,,"Come on, Lydia, you can do it.",neutral,"'Joey: Concerned, furrowed brow, open mouth, intense eyes'","Fundamental Frequency: The fundamental frequency, or pitch, of the voice throughout this short audio clip appears to be in a moderate to slightly high range. There's a noticeable upward inflection at the end of the phrase, suggesting a questioning or encouraging tone. The pitch contour is relatively stable during the main part of the utterance, but the final rise is prominent. Overall, pitch is used dynamically to convey encouragement and perhaps a hint of anticipation.; Loudness / Energy: The loudness and vocal energy start at a moderate level and increase slightly towards the end of the phrase. The speaker sounds reasonably strong and clear, not overly soft or weak. There are no abrupt shifts in intensity, but the slight crescendo at the end adds emphasis to the encouraging message. The overall impression is one of confident and engaged vocal delivery.; Speaking Rate and Pauses: The speaking rate is moderate, with clear enunciation. The phrase is delivered smoothly without any significant pauses within it. The rhythm is natural and conversational. The absence of pauses contributes to a sense of directness and immediacy in the encouragement.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no obvious signs of strain, hoarseness, or excessive breathiness. The voice has a pleasant, natural quality that allows the message to be conveyed effectively. There are no noticeable rough or tight qualities.",19,1,23,"0:10:44,769","0:10:46,146",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_0/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt0.wav
1,1,Joey,"Joey: Come on, Lydia, you can do it.",Push!,joy,"'Joey: Concentrated, furrowed brow, lips pressed together'","Fundamental Frequency: The fundamental frequency appears to be relatively stable throughout this brief audio snippet. It doesn't convey a strong impression of being particularly high or low pitched, suggesting a mid-range vocalization. There are no dramatic fluctuations or changes in pitch contour evident.; Loudness / Energy: The loudness and vocal energy are moderate, neither exceptionally strong nor soft. There's a consistent energy level without significant shifts or emphasis. The overall impression is one of balanced vocal dynamics within this short segment.; Speaking Rate and Pauses: Given the very short duration, it's difficult to definitively assess the speaking rate. The delivery seems moderately paced. There are no discernible pauses within this snippet, suggesting a continuous flow of speech.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, hoarseness, or roughness. The vocal production appears stable and without noticeable imperfections in quality for this brief sample.",20,1,23,"0:10:46,146","0:10:46,833",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_1/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt1.wav
1,2,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!","Push 'em out, push 'em out, harder, harder.",joy,"'Joey: Tense, furrowed brow, closed mouth, focused eyes'","Fundamental Frequency: The fundamental frequency (F0) in this short audio clip appears to be in a moderate to slightly high range, with a generally stable pitch contour. There are no dramatic shifts or fluctuations, suggesting a relatively consistent intonation. The pitch is used straightforwardly without pronounced expressive variations.; Loudness / Energy: The loudness and energy level are consistently high throughout the clip, with a strong and forceful delivery. The speaker sounds very engaged and is projecting their voice with significant power. There are no significant dips or increases in energy, indicating a sustained high level of vocal effort.; Speaking Rate and Pauses: The speaking rate is fast, with words delivered in rapid succession. There are minimal to no discernible pauses between words or phrases, creating a sense of urgency and continuous flow. The rapid pace contributes to an energetic and somewhat breathless delivery.; Voice Quality Features: The voice quality sounds clear and strong, without noticeable breathiness or strain. While the energy is high, it doesn't appear to be pushing towards hoarseness or roughness. The overall impression is of a robust and clear vocal production, possibly with a touch of intensity due to the rapid speech and high energy.",21,1,23,"00:10:46,979","00:10:50,148",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_2/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt2.wav
1,3,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!
Joey: Push 'em out, push 'em out, harder, harder.","Push 'em out, push 'em out, way out!",joy,"'Joey: Furrowed brow, tightly pursed lips, intense expression'","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly high range, with some fluctuations that suggest a natural, expressive intonation. There are no drastic shifts, but a generally lively pitch contour.; Loudness / Energy: The loudness and energy level are moderately high, indicating a clear and assertive delivery. There are subtle variations in intensity, with some words or phrases receiving more emphasis, contributing to a dynamic and engaging vocal performance. The overall impression is one of confident projection.; Speaking Rate and Pauses: The speaking rate is moderate to slightly fast, with a generally smooth flow of speech. Pauses are present but brief, serving to punctuate the speech rather than disrupt its rhythm. This suggests a fluent and well-paced delivery, allowing for clear articulation without feeling rushed.; Voice Quality Features: The voice quality sounds clear and resonant, without noticeable strain or hoarseness. It suggests a healthy vocal production with minimal breathiness or roughness. The overall impression is of a smooth and well-controlled voice.",22,1,23,"00:10:50,316","00:10:52,609",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_3/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt3.wav
1,4,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!
Joey: Push 'em out, push 'em out, harder, harder.
Joey: Push 'em out, push 'em out, way out!","Let's get that ball and really move, hey, hey, ho, ho.",joy,"'Joey: Pained expression, furrowed brow, closed eyes, clenched hands.'","Fundamental Frequency: The fundamental frequency (pitch) throughout the audio starts at a moderate level and exhibits a slight upward inflection in the initial utterance, suggesting a slight increase in excitement or emphasis. The pitch remains relatively stable for the most part, with no dramatic fluctuations. The overall impression is of a normal, conversational pitch range with a brief but noticeable rise at the beginning. There isn't a sense of the voice being particularly high or low, but rather within a typical male vocal range.; Loudness / Energy: The loudness and energy level begin at a moderate to strong level, with a clear emphasis on the opening words. There's a sense of vocal power and projection. The energy seems to fluctuate slightly with the intonation, peaking at the start and then settling into a consistent, slightly lower but still robust level. The overall impression is of confident and energetic speech, with a clear dynamic range that starts strong and maintains good presence.; Speaking Rate and Pauses: The speaking rate appears to be moderate to slightly fast, particularly at the beginning of the segment. The delivery is quite fluid with minimal hesitation. The phrase ""Let's get that ball in"" is delivered with a continuous flow, and the subsequent ""really move"" follows immediately, indicating a brisk pace. There are no significant pauses within this short segment; the speech is continuous and rhythmic, contributing to a sense of forward momentum.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no immediate indications of breathiness, strain, or significant hoarseness. The articulation is distinct, suggesting good vocal cord closure. The overall impression is of a healthy and well-supported voice, capable of clear projection and energetic delivery without sounding rough or overly tense.",23,1,23,"00:10:52,777","00:10:55,612",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_4/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt4.wav
1,5,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!
Joey: Push 'em out, push 'em out, harder, harder.
Joey: Push 'em out, push 'em out, way out!
Joey: Let's get that ball and really move, hey, hey, ho, ho.","Let's I was justyeah, right.",joy,"'Joey: Frustrated, furrowed brow, tight-lipped, intense gaze'","Fundamental Frequency: The fundamental frequency appears to be relatively low, suggesting a deeper vocal register. There's a noticeable fluctuation, indicating some degree of pitch variability which adds expressiveness. The contour seems to rise and fall naturally with the spoken content, suggesting typical intonation patterns. Overall, the pitch usage feels conversational and not overly monotonous.; Loudness / Energy: The loudness and energy level are moderate throughout the excerpt. The voice sounds relatively strong but not overpowering. There are subtle shifts in energy, possibly indicating emphasis on certain words or phrases, but no dramatic changes. The overall vocal dynamics are fairly stable, contributing to a clear and understandable delivery.; Speaking Rate and Pauses: The speaking rate seems moderate to slightly fast, with a good flow of words. The delivery is relatively smooth, though there are some very brief pauses, possibly for breath or thought. These pauses are short and don't significantly disrupt the rhythm or pacing, contributing to a natural conversational feel.; Voice Quality Features: The voice quality sounds generally clear and smooth. There are no immediately apparent signs of hoarseness, strain, or excessive breathiness. The vocal production seems consistent and well-controlled, suggesting a healthy vocal production with minimal audible irregularities.",24,1,23,"00:10:55,780","00:11:01,242",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_5/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt5.wav
1,6,Joey,"Joey: Come on, Lydia, you can do it.
Joey: Push!
Joey: Push 'em out, push 'em out, harder, harder.
Joey: Push 'em out, push 'em out, way out!
Joey: Let's get that ball and really move, hey, hey, ho, ho.
Joey: Let's I was justyeah, right.",Push!,joy,"'Joey: Concentrated, lips pursed, slightly furrowed brow'","❌ 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}",25,1,23,"0:11:01,410","0:11:01,828",/kaggle/input/video-frames-v1/preprocessed_frames/test/1_6/06_UMF.jpg,/kaggle/input/meld-raw/test_wav/dia1_utt6.wav
