conversation_id,utterance_id,speaker,history,utterance,emotion,visual,audio,source_utterance_id,image,audio_path,source_row_index,source_speaker_code,source_turn
Ses05F_impro01,0,Female,,"Hi, I need an ID.",neutral,"Female: The woman has a slight smile, her eyes are engaged and she appears approachable, showing a friendly demeanor.","Fundamental Frequency: The fundamental frequency (F0) in this short audio clip appears to be in a moderate to slightly low range, suggesting a natural and grounded pitch. There are no significant fluctuations or dramatic changes in pitch contour, indicating a relatively stable and even delivery. The overall impression is of a clear and controlled pitch usage without excessive embellishment.; Loudness / Energy: The loudness and vocal energy are at a moderate level throughout the clip. The voice sounds clear and present, neither too soft nor excessively loud. There are no abrupt shifts in intensity, suggesting a consistent energy level. The vocal dynamics are subtle, with a smooth and even distribution of energy.; Speaking Rate and Pauses: The speaking rate is moderate, with clear articulation and a natural rhythm. There is a brief pause after the initial greeting before the request for an ID. This pause is short and serves to separate the two parts of the utterance without disrupting the flow. The pacing feels deliberate and easy to follow.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, or hoarseness. The vocal production appears efficient, suggesting a well-supported voice without noticeable roughness or tension. The overall impression is of a healthy and natural voice quality.",Ses05F_impro01_F000,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F000.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F000.wav,289,F,0
Ses05F_impro01,1,Male,"Female: Hi, I need an ID.","ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.",neutral,"Male: The man's expression appears neutral, with slight emphasis on his brow, suggesting he is focused on the conversation. His mouth is positioned in a relaxed manner, indicating he is calmly conveying information.","Fundamental Frequency: The fundamental frequency of the speech is relatively stable, suggesting a consistent vocal pitch. The pitch appears to be in a moderate range, not excessively high or low. There are no dramatic fluctuations or changes in the pitch contour, indicating a straightforward and controlled vocal delivery.; Loudness / Energy: The loudness and vocal energy are moderate throughout the audio segment. The speaker's voice is clear and audible, but not overly loud or forceful. There are subtle shifts in emphasis, particularly at the beginning of phrases, but no significant changes in energy level that would suggest strong emotional expression or dramatic vocal dynamics.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate pace. The speaker enunciates words distinctly. There is a brief pause at the beginning, followed by a relatively continuous flow of speech. The pauses are short and serve to separate ideas or correct a misstatement, contributing to a clear and organized delivery without disrupting the overall rhythm.; Voice Quality Features: The voice quality sounds clear and smooth. There are no noticeable signs of hoarseness, strain, or breathiness. The vocal production appears to be well-controlled, suggesting a healthy and natural voice. The clarity of the articulation further contributes to the overall impression of a smooth and resonant vocal quality.",Ses05F_impro01_M000,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_M000.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_M000.wav,290,M,0
Ses05F_impro01,2,Female,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.","Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-",frustrated,"Female: The woman's expression shows frustration and impatience, with slightly raised eyebrows and a tense mouth. Her hands are open and gesturing, indicating a plea for understanding.","Fundamental Frequency: The fundamental frequency in this audio sample is relatively stable and within a moderate to slightly low range. There aren't significant fluctuations or dramatic shifts in pitch, suggesting a consistent and somewhat monotonic delivery. The overall impression is of a voice that isn't particularly high or low, but rather grounded in a conversational tone. The pitch contour is quite flat, indicating a lack of strong intonational variation or emotional emphasis through pitch.; Loudness / Energy: The loudness and energy level of the voice are moderate and fairly consistent throughout the sample. The speaker sounds clear and audible without being overpowering. There are no abrupt changes in intensity that would suggest strong emphasis or excitement. The overall impression is of a calm and steady vocal energy, with minimal use of dynamics to convey meaning or emotion.; Speaking Rate and Pauses: The speaking rate appears to be moderate. The speaker delivers their words at a steady pace, neither rushed nor excessively slow. There is a brief pause before the phrase ""can you"", which seems to be used for thought or transition. The pauses are not overly long and do not disrupt the overall flow significantly. The rhythm of speech is fairly even, contributing to a smooth and clear delivery.; Voice Quality Features: The voice quality sounds clear and smooth. There are no apparent signs of roughness, hoarseness, or strain. The vocal production seems effortless, without any noticeable breathiness or tightness. The overall impression is of a healthy and well-produced voice that is easy to listen to.",Ses05F_impro01_F001,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F001.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F001.wav,291,F,1
Ses05F_impro01,3,Female,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-","No, they told me-I'm sorry, but they told me to be in this line.",frustrated,"Female: The woman has an open mouth with a slight frown, indicating concern or frustration. Her eyebrows are furrowed, suggesting she is feeling anxious or apologetic. Her eyes are wide, reflecting her sincerity in the situation.","{ ""Fundamental Frequency: "": ""The fundamental frequency in this audio clip appears to be within a moderate to slightly low range, suggesting a generally grounded and natural pitch. There are no abrupt or extreme fluctuations in pitch, indicating a relatively stable vocalization. The pitch contour is largely monotonic, without significant rises or falls that would suggest strong emotional expression or rhetorical emphasis. Overall, the pitch is used in a straightforward manner, conveying information without dramatic tonal variation."", ""Loudness / Energy: "": ""The loudness and energy level in this audio are moderate. The voice sounds neither excessively strong nor excessively soft, maintaining a consistent presence throughout the short clip. There are no pronounced shifts in energy that would indicate strong emphasis on particular words or phrases. The overall impression is one of steady vocal output with limited dynamic range."", ""Speaking Rate and Pauses: "": ""The speaking rate is moderate, neither rushed nor particularly slow. The delivery is smooth and rhythmic, with a clear articulation of words. There is a brief pause at the beginning of the clip (around 00:00 to 00:01) before the speech begins. Following this, the speech flows without any further significant pauses, contributing to a direct and uninterrupted flow of information."", ""Voice Quality Features: "": ""The voice quality appears clear and smooth. There are no indications of breathiness, strain, hoarseness, or roughness. The vocalization sounds natural and well-supported, suggesting a healthy vocal production. The absence of noticeable fluctuations in quality contributes to an overall impression of vocal clarity and ease."" } }",Ses05F_impro01_F002,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F002.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F002.wav,292,F,2
Ses05F_impro01,4,Female,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.","What, I mean what... what's the difference? What do I need to do there that I can't do here?",frustrated,"Female: The woman displays a furrowed brow and wide eyes, suggesting confusion or frustration. Her mouth is slightly open and her hands are gesturing outward, indicating a search for clarity or a need for explanation.","Fundamental Frequency: The fundamental frequency (F0) appears to be within a moderate to slightly high range, suggesting a generally clear and articulate voice. There are some subtle fluctuations in pitch, indicating natural intonational variations rather than a monotone delivery. The pitch contour seems to rise at the end of phrases, a common pattern in declarative sentences, and there aren't any abrupt or jarring shifts. Overall, pitch is used expressively to convey meaning and structure within the short utterance.; Loudness / Energy: The loudness and energy level of the voice are moderate and relatively consistent throughout the audio. The speaker's voice sounds clear and well-projected, without being overly loud or excessively soft. There are no significant shifts in energy that would suggest strong emphasis on particular words or a dramatic change in emotional state. The vocal dynamics are stable, contributing to a sense of clarity and ease of understanding.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate pace. The speaker delivers their words smoothly, and the articulation is precise. There is a brief pause between ""what"" and ""what's the difference,"" which seems to serve as a natural moment for thought or formulation of the question. Another short pause occurs before ""there that I can't do here,"" contributing to the flow and allowing the listener to process the information. The pauses are brief and functional, enhancing the rhythm and comprehension of the speech.; Voice Quality Features: The voice quality sounds clear and relatively smooth. There are no strong indicators of breathiness, strain, or hoarseness. The vocal production seems efficient, suggesting good vocal fold closure without excessive tension. Any minor fluctuations in quality are likely within the normal range of natural speech variation and do not detract from the overall clarity and pleasantness of the voice.",Ses05F_impro01_F003,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F003.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F003.wav,293,F,3
Ses05F_impro01,5,Male,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.
Female: What, I mean what... what's the difference? What do I need to do there that I can't do here?","Well, I have no camera here. I can't help you at all here, ma'am. I have forms for something completely different. You need to go to a different place.",neutral,"Male: The man displays an expressive face with raised eyebrows and wide-open eyes, indicating surprise or concern. His mouth is slightly open, which could suggest he is emphasizing his words or seeking to engage the listener.","{ ""Fundamental Frequency: "": ""The fundamental frequency seems to be in a moderate range, not particularly high or low. There's a generally stable pitch throughout the utterance, with no drastic fluctuations. The pitch contour appears relatively flat, suggesting a direct and perhaps informational tone. Overall, pitch is used straightforwardly without much expressive variation."", ""Loudness / Energy: "": ""The loudness is at a consistent, moderate level. The speaker's voice sounds clear and present without being overpowering. There are no significant shifts in energy or emphasis, indicating a steady delivery. The overall vocal dynamics are relatively even, with a sense of controlled energy."", ""Speaking Rate and Pauses: "": ""The speaking rate is moderate, neither too fast nor too slow. The delivery is relatively smooth, with a consistent rhythm. There are a few very brief pauses, but they do not disrupt the flow significantly. These pauses seem to be for natural breath intake or slight consideration, contributing to a clear and easy-to-follow pace."", ""Voice Quality Features: "": ""The voice quality is clear and relatively smooth. There are no obvious signs of breathiness, strain, or hoarseness. The articulation is clean, and the voice sounds healthy and unrestrained. Any minor fluctuations are imperceptible, suggesting good vocal control."" } }",Ses05F_impro01_M003,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_M003.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_M003.wav,294,M,3
Ses05F_impro01,6,Female,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.
Female: What, I mean what... what's the difference? What do I need to do there that I can't do here?
Male: Well, I have no camera here. I can't help you at all here, ma'am. I have forms for something completely different. You need to go to a different place.",Can you just-can I just get the right-,frustrated,"Female: The woman's facial expression shows concern, with furrowed brows and slightly pursed lips, indicating frustration or urgency. Her eyes are wide, suggesting a plea for understanding.","Fundamental Frequency: The fundamental frequency in this short audio clip appears to be within a moderate range, not particularly high or low. There are no immediately obvious wide fluctuations or dramatic changes in pitch contour, suggesting a relatively stable vocalization. The overall impression of pitch usage is neutral.; Loudness / Energy: The loudness and energy level are consistent and moderate throughout this brief segment. The voice sounds neither exceptionally strong nor soft. There are no significant shifts in emphasis or intensity that stand out, indicating a steady vocal dynamic.; Speaking Rate and Pauses: The speaking rate is moderate, with clear enunciation. There is a very brief pause around the 00:01 mark, but it is short and does not significantly disrupt the flow. The rhythm is natural and the pacing feels smooth.; Voice Quality Features: The voice quality sounds clear and smooth. There are no immediate indications of breathiness, strain, hoarseness, or roughness. The vocalization appears to be well-controlled and free of noticeable irregularities.",Ses05F_impro01_F004,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F004.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F004.wav,295,F,4
Ses05F_impro01,7,Male,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.
Female: What, I mean what... what's the difference? What do I need to do there that I can't do here?
Male: Well, I have no camera here. I can't help you at all here, ma'am. I have forms for something completely different. You need to go to a different place.
Female: Can you just-can I just get the right-","Simply step to line two A, ma'am, I'm sorry.",frustrated,"Female: The woman shows a frown, with furrowed brows and slightly parted lips, indicating confusion or concern. Her body language is also tense, with her hands resting on her thighs.","Fundamental Frequency: The fundamental frequency appears to be in a moderate to slightly low range, suggesting a generally grounded and stable pitch. There are no extreme highs or lows, and the pitch contour seems relatively steady throughout the short utterance. This indicates a controlled and perhaps calm vocal delivery.; Loudness / Energy: The loudness and energy level are moderate. The speaker's voice is clear and audible without being excessively loud or overly soft. There are no dramatic shifts in intensity, suggesting a consistent and even vocal effort. The overall impression is one of balanced vocal dynamics.; Speaking Rate and Pauses: The speaking rate is moderate. The speaker articulates clearly and efficiently. There is a slight hesitation or brief pause before ""man"" at 00:01, which seems natural and does not disrupt the flow significantly. The pacing feels comfortable and easy to follow.; Voice Quality Features: The voice quality sounds clear and smooth. There are no apparent signs of hoarseness, strain, or excessive breathiness. The vocal production seems efficient and free of any noticeable roughness or tightness, contributing to an easily understood and pleasant auditory experience.",Ses05F_impro01_M004,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_M004.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_M004.wav,296,M,4
Ses05F_impro01,8,Female,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.
Female: What, I mean what... what's the difference? What do I need to do there that I can't do here?
Male: Well, I have no camera here. I can't help you at all here, ma'am. I have forms for something completely different. You need to go to a different place.
Female: Can you just-can I just get the right-
Male: Simply step to line two A, ma'am, I'm sorry.",Would you be able to put me at the front of that line?,frustrated,"Female: The woman looks slightly concerned or pleading, with her eyebrows furrowed and mouth slightly open as if seeking reassurance or help.","Fundamental Frequency: The fundamental frequency throughout the audio appears to be in a moderate to slightly low range, suggesting a generally stable and grounded pitch. There are no dramatic shifts or extreme fluctuations, contributing to a clear and understandable delivery. The pitch contour is relatively flat, with minor variations that likely serve to emphasize certain words or phrases without being overly expressive. Overall, the pitch usage is controlled and functional.; Loudness / Energy: The loudness and energy levels are consistently moderate, indicating a clear and present voice without being overpowering or excessively soft. There's a good sense of vocal presence. The energy level remains stable throughout the excerpt, with no significant peaks or dips. This suggests a steady delivery, with emphasis likely conveyed through subtle inflections rather than drastic changes in volume. The overall vocal dynamics are balanced.; Speaking Rate and Pauses: The speaking rate is moderate, with a clear and deliberate pace. The speaker delivers their words smoothly, with a natural rhythm. There are very brief pauses, likely for breath or to formulate the next thought, but they are short and do not interrupt the flow of speech. These minimal pauses contribute to an efficient and easy-to-follow delivery, making the speech feel well-paced and coherent.; Voice Quality Features: The voice quality sounds clear and smooth, with no apparent signs of strain, hoarseness, or breathiness. The vocal production seems efficient and effortless. There are no noticeable rough textures or tightness. The overall impression is of a healthy and well-supported voice, which contributes to the clarity and intelligibility of the speech.",Ses05F_impro01_F005,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_F005.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_F005.wav,297,F,5
Ses05F_impro01,9,Male,"Female: Hi, I need an ID.
Male: ahh Yeah, this is the wrong line. I'm sorry. You need to go back over to line two B. That's where you should have started from.
Female: Okay, I'm sorry, but I just stood in this line for an hour. can I Is there any way I can-
Female: No, they told me-I'm sorry, but they told me to be in this line.
Female: What, I mean what... what's the difference? What do I need to do there that I can't do here?
Male: Well, I have no camera here. I can't help you at all here, ma'am. I have forms for something completely different. You need to go to a different place.
Female: Can you just-can I just get the right-
Male: Simply step to line two A, ma'am, I'm sorry.
Female: Would you be able to put me at the front of that line?",There is a large line of people behind you waiting to be--,frustrated,"Female: The woman displays a furrowed brow and slightly pursed lips, suggesting concern or frustration. Her eyes appear wide, indicating surprise or urgency.","Fundamental Frequency: The fundamental frequency (pitch) in this short audio clip appears to be in a moderate to slightly higher range, suggesting a voice that is not particularly deep. There's a slight upward inflection at the end of the sentence, indicating a question or a rising intonation pattern. The pitch seems relatively stable throughout the brief utterance, without any dramatic fluctuations. Overall, the pitch usage is typical for a declarative or interrogative statement.; Loudness / Energy: The loudness and vocal energy are moderate. The speaker's voice is clear and audible, but not overpowering. There are no significant sudden increases or decreases in energy, suggesting a consistent, conversational level of vocal effort. The phrase ends with a slight decrease in energy, which is common for a trailing-off intonation.; Speaking Rate and Pauses: The speaking rate is moderate. The phrase is delivered clearly and without rushing. There are no significant pauses within the utterance, indicating a smooth and direct delivery of the message. The phrase is short, so the pacing feels natural for conveying information about a queue.; Voice Quality Features: The voice quality sounds clear and natural, without any prominent signs of strain, breathiness, or hoarseness. The vocal production seems smooth, suggesting good vocal fold closure. There are no noticeable rough or tight qualities. The overall impression is of a healthy, well-modulated voice.",Ses05F_impro01_M005,/kaggle/input/iemocap-testset/iemocap_frames/Session5/Ses05F_impro01_M005.jpg,/kaggle/input/iemocap-dataset/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_impro01/Ses05F_impro01_M005.wav,298,M,5
